date,actual,predicted,residual
2024-03-13,65.62,58.77887050303325,6.841129496966758
2024-03-14,81.21,63.448547365165226,17.761452634834768
2024-03-15,88.8,61.04179906781172,27.758200932188274
2024-03-16,136.11,62.228574013991356,73.88142598600865
2024-03-17,108.1,70.88354615523323,37.21645384476676
2024-03-18,82.11,70.49027196024223,11.619728039757774
2024-03-19,81.8,69.12005291261673,12.679947087383269
2024-03-20,94.37,94.96767952995437,-0.5976795299543625
2024-03-21,93.02,88.59171835528613,4.428281644713863
2024-03-22,83.81,94.93397531404595,-11.12397531404595
2024-03-23,68.2,91.3145221341623,-23.1145221341623
2024-03-24,74.56,90.76371531854474,-16.203715318544738
2024-03-25,70.45,88.24543689029039,-17.79543689029039
2024-03-26,98.41,115.4646060604293,-17.054606060429307
2024-03-27,82.81,78.86695963627612,3.943040363723881
2024-03-28,81.63,63.83499408391226,17.79500591608774
2024-03-29,55.38,50.49354719430436,4.88645280569564
2024-03-30,74.54,70.01109264453734,4.528907355462664
2024-03-31,97.29,73.16221202678548,24.127787973214524
2024-04-01,67.26,70.19262776429403,-2.9326277642940255
2024-04-02,66.6,56.708960433226125,9.89103956677387
2024-04-03,76.92,57.96402974278621,18.955970257213792
2024-04-04,129.98,41.987810190446,87.99218980955399
2024-04-05,79.64,95.20268869680244,-15.56268869680244
2024-04-06,80.33,71.99708458745322,8.332915412546782
2024-04-07,125.24,60.6387868022917,64.60121319770829
2024-04-08,111.56,100.69569326938858,10.864306730611418
2024-04-09,117.36,80.81830338821676,36.54169661178324
2024-04-10,71.35,86.31963590535398,-14.969635905353982
2024-04-11,47.93,80.48993423952871,-32.55993423952871
2024-04-12,91.4,89.54523860901955,1.8547613909804568
2024-04-13,110.81,97.98028752081667,12.829712479183328
2024-04-14,111.72,113.51364805128019,-1.7936480512801865
2024-04-15,69.16,73.85970903868082,-4.6997090386808225
2024-04-16,90.05,70.27142796930173,19.77857203069827
2024-04-17,74.17,94.5240373354915,-20.354037335491498
2024-04-18,51.68,100.95137360551111,-49.27137360551111
2024-04-19,41.15,73.92012476266373,-32.770124762663734
2024-04-20,93.78,49.80017514685313,43.97982485314687
2024-04-21,106.91,74.09602842531066,32.81397157468933
2024-04-22,88.55,64.45017649165051,24.099823508349488
2024-04-23,73.65,60.0431579130297,13.606842086970303
2024-04-24,82.34,50.60441655783183,31.73558344216817
2024-04-25,64.9,70.58679160829433,-5.686791608294328
2024-04-26,94.34,78.34547747644248,15.99452252355752
